ts,value
1725926400000,-51.0
1725930000000,-39.0
1725933600000,-36.0
1725937200000,-33.0
1725940800000,-38.0
1725944400000,-40.0
1725948000000,-33.0
1725951600000,-38.0
1725955200000,-41.0
1725958800000,-46.0
1725962400000,-52.0
1725966000000,-52.0
1725969600000,-51.0
1725973200000,-51.0
1725976800000,-51.0
1725980400000,-49.0
1725984000000,-52.0
1725987600000,-56.0
1725991200000,-63.0
1725994800000,-68.0
1725998400000,-68.0
1726002000000,-69.0
1726005600000,-67.0
1726009200000,-57.0
1726012800000,-47.0
1726016400000,-38.0
1726020000000,-33.0
1726023600000,-31.0
1726027200000,-36.0
1726030800000,-36.0
1726034400000,-31.0
1726038000000,-31.0
1726041600000,-35.0
1726045200000,-43.0
1726048800000,-50.0
1726052400000,-53.0
1726056000000,-54.0
1726059600000,-56.0
1726063200000,-57.0
1726066800000,-56.0
1726070400000,-54.0
1726074000000,-58.0
1726077600000,-61.0
1726081200000,-71.0
1726084800000,-71.0
1726088400000,-74.0
1726092000000,-70.0
1726095600000,-63.0
1726099200000,-50.0
1726102800000,-44.0
1726106400000,-40.0
1726110000000,-37.0
1726113600000,-40.0
1726117200000,-40.0
1726120800000,-32.0
1726124400000,-35.0
1726128000000,-38.0
1726131600000,-42.0
1726135200000,-44.0
1726138800000,-46.0
1726142400000,-45.0
1726146000000,-45.0
1726149600000,-42.0
1726153200000,-42.0
1726156800000,-48.0
1726160400000,-54.0
1726164000000,-58.0
1726167600000,-68.0
1726171200000,-71.0
1726174800000,-77.0
1726178400000,-72.0
1726182000000,-65.0
1726185600000,-55.0
1726189200000,-46.0
1726192800000,-41.0
1726196400000,-40.0
1726200000000,-41.0
1726203600000,-39.0
1726207200000,-34.0
1726210800000,-36.0
1726214400000,-36.0
1726218000000,-42.0
1726221600000,-46.0
1726225200000,-46.0
1726228800000,-46.0
1726232400000,-42.0
1726236000000,-40.0
1726239600000,-45.0
1726243200000,-46.0
1726246800000,-53.0
1726250400000,-58.0
1726254000000,-68.0
1726257600000,-68.0
1726261200000,-70.0
1726264800000,-66.0
1726268400000,-59.0
1726272000000,-51.0
1726275600000,-41.0
1726279200000,-35.0
1726282800000,-33.0
1726286400000,-36.0
1726290000000,-34.0
1726293600000,-29.0
1726297200000,-31.0
1726300800000,-32.0
1726304400000,-40.0
1726308000000,-49.0
1726311600000,-51.0
1726315200000,-54.0
1726318800000,-55.0
1726322400000,-52.0
1726326000000,-53.0
1726329600000,-53.0
1726333200000,-55.0
1726336800000,-60.0
1726340400000,-67.0
1726344000000,-65.0
1726347600000,-68.0
1726351200000,-65.0
1726354800000,-57.0
